"variable_name" "label"
"tBodyGyro-std()-X" "Standard deviation of body movement time gyroscope X-axis (seconds)"
"tBodyGyro-std()-Y" "Standard deviation of body movement time gyroscope Y-axis (seconds)"
"tBodyGyro-std()-Z" "Standard deviation of body movement time gyroscope Z-axis (seconds)"
"tBodyGyroJerk-mean()-X" "Mean body movement time gyroscope jerk X-axis (seconds)"
"tBodyGyroJerk-mean()-Y" "Mean body movement time gyroscope jerk Y-axis (seconds)"
"tBodyGyroJerk-mean()-Z" "Mean body movement time gyroscope jerk Z-axis (seconds)"
"tBodyGyroJerk-std()-X" "Standard deviation of body movement time gyroscope jerk X-axis (seconds)"
"tBodyGyroJerk-std()-Y" "Standard deviation of body movement time gyroscope jerk Y-axis (seconds)"
"tBodyGyroJerk-std()-Z" "Standard deviation of body movement time gyroscope jerk Z-axis (seconds)"
"tBodyAccMag-mean()" "Mean body movement time accelerometer magnitude (seconds)"
"tBodyAccMag-std()" "Standard deviation of body movement time accelerometer magnitude (seconds)"
"tGravityAccMag-mean()" "Mean time accelerometer magnitude (seconds)"
"tGravityAccMag-std()" "Standard deviation of time accelerometer magnitude (seconds)"
"tBodyAccJerkMag-mean()" "Mean body movement time accelerometer jerk magnitude (seconds)"
"tBodyAccJerkMag-std()" "Standard deviation of body movement time accelerometer jerk magnitude (seconds)"
"tBodyGyroMag-mean()" "Mean body movement time gyroscope magnitude (seconds)"
"tBodyGyroMag-std()" "Standard deviation of body movement time gyroscope magnitude (seconds)"
"tBodyGyroJerkMag-mean()" "Mean body movement time gyroscope jerk magnitude (seconds)"
"tBodyGyroJerkMag-std()" "Standard deviation of body movement time gyroscope jerk magnitude (seconds)"
"fBodyAcc-mean()-X" "Mean body movement fast fourier transformed time accelerometer X-axis (frequency)"
"fBodyAcc-mean()-Y" "Mean body movement fast fourier transformed time accelerometer Y-axis (frequency)"
"fBodyAcc-mean()-Z" "Mean body movement fast fourier transformed time accelerometer Z-axis (frequency)"
"fBodyAcc-std()-X" "Standard deviation of body movement fast fourier transformed time accelerometer X-axis (frequency)"
"fBodyAcc-std()-Y" "Standard deviation of body movement fast fourier transformed time accelerometer Y-axis (frequency)"
"fBodyAcc-std()-Z" "Standard deviation of body movement fast fourier transformed time accelerometer Z-axis (frequency)"
"fBodyAcc-meanFreq()-X" "Mean frequency body movement fast fourier transformed time accelerometer X-axis (frequency)"
"fBodyAcc-meanFreq()-Y" "Mean frequency body movement fast fourier transformed time accelerometer Y-axis (frequency)"
"fBodyAcc-meanFreq()-Z" "Mean frequency body movement fast fourier transformed time accelerometer Z-axis (frequency)"
"fBodyAccJerk-mean()-X" "Mean body movement fast fourier transformed time accelerometer jerk X-axis (frequency)"
"fBodyAccJerk-mean()-Y" "Mean body movement fast fourier transformed time accelerometer jerk Y-axis (frequency)"
"fBodyAccJerk-mean()-Z" "Mean body movement fast fourier transformed time accelerometer jerk Z-axis (frequency)"
"fBodyAccJerk-std()-X" "Standard deviation of body movement fast fourier transformed time accelerometer jerk X-axis (frequency)"
"fBodyAccJerk-std()-Y" "Standard deviation of body movement fast fourier transformed time accelerometer jerk Y-axis (frequency)"
"fBodyAccJerk-std()-Z" "Standard deviation of body movement fast fourier transformed time accelerometer jerk Z-axis (frequency)"
"fBodyAccJerk-meanFreq()-X" "Mean frequency body movement fast fourier transformed time accelerometer jerk X-axis (frequency)"
"fBodyAccJerk-meanFreq()-Y" "Mean frequency body movement fast fourier transformed time accelerometer jerk Y-axis (frequency)"
"fBodyAccJerk-meanFreq()-Z" "Mean frequency body movement fast fourier transformed time accelerometer jerk Z-axis (frequency)"
"fBodyGyro-mean()-X" "Mean body movement fast fourier transformed time gyroscope X-axis (frequency)"
"fBodyGyro-mean()-Y" "Mean body movement fast fourier transformed time gyroscope Y-axis (frequency)"
"fBodyGyro-mean()-Z" "Mean body movement fast fourier transformed time gyroscope Z-axis (frequency)"
"fBodyGyro-std()-X" "Standard deviation of body movement fast fourier transformed time gyroscope X-axis (frequency)"
"fBodyGyro-std()-Y" "Standard deviation of body movement fast fourier transformed time gyroscope Y-axis (frequency)"
"fBodyGyro-std()-Z" "Standard deviation of body movement fast fourier transformed time gyroscope Z-axis (frequency)"
"fBodyGyro-meanFreq()-X" "Mean frequency body movement fast fourier transformed time gyroscope X-axis (frequency)"
"fBodyGyro-meanFreq()-Y" "Mean frequency body movement fast fourier transformed time gyroscope Y-axis (frequency)"
"fBodyGyro-meanFreq()-Z" "Mean frequency body movement fast fourier transformed time gyroscope Z-axis (frequency)"
"fBodyAccMag-mean()" "Mean body movement fast fourier transformed time accelerometer magnitude (frequency)"
"fBodyAccMag-std()" "Standard deviation of body movement fast fourier transformed time accelerometer magnitude (frequency)"
"fBodyAccMag-meanFreq()" "Mean frequency body movement fast fourier transformed time accelerometer magnitude (frequency)"
"fBodyBodyAccJerkMag-mean()" "Mean body movement fast fourier transformed time accelerometer jerk magnitude (frequency)"
"fBodyBodyAccJerkMag-std()" "Standard deviation of body movement fast fourier transformed time accelerometer jerk magnitude (frequency)"
"fBodyBodyAccJerkMag-meanFreq()" "Mean frequency body movement fast fourier transformed time accelerometer jerk magnitude (frequency)"
"fBodyBodyGyroMag-mean()" "Mean body movement fast fourier transformed time gyroscope magnitude (frequency)"
"fBodyBodyGyroMag-std()" "Standard deviation of body movement fast fourier transformed time gyroscope magnitude (frequency)"
"fBodyBodyGyroMag-meanFreq()" "Mean frequency body movement fast fourier transformed time gyroscope magnitude (frequency)"
"fBodyBodyGyroJerkMag-mean()" "Mean body movement fast fourier transformed time gyroscope jerk magnitude (frequency)"
"fBodyBodyGyroJerkMag-std()" "Standard deviation of body movement fast fourier transformed time gyroscope jerk magnitude (frequency)"
"fBodyBodyGyroJerkMag-meanFreq()" "Mean frequency body movement fast fourier transformed time gyroscope jerk magnitude (frequency)"
"angle(tBodyAccMean,gravity)" "body movement Angle accelerometer (degrees)"
"angle(tBodyAccJerkMean),gravityMean)" "body movement Angle accelerometer jerk (degrees)"
"angle(tBodyGyroMean,gravityMean)" "body movement Angle gyroscope (degrees)"
"angle(tBodyGyroJerkMean,gravityMean)" "body movement Angle gyroscope jerk (degrees)"
"angle(X,gravityMean)" "Angle X-axis (degrees)"
"angle(Y,gravityMean)" "Angle Y-axis (degrees)"
"angle(Z,gravityMean)" "Angle Z-axis (degrees)"
